"gender","grad_year","transfer","major","minor","returning_member","intern_job_count","Java","Python","R","SQL","C.C..","JavaScript.TypeScript","Languages","NumPy","Pandas","SciPy","Scikit.learn","PyTorch","Tensorflow","Math.4A","CS.9","Calculus.Math.3A.Math.3B.AP.Calc","Math.6A","Math.8.PSTAT.8.CS.40","PSTAT.10","PSTAT.120A","PSTAT.120B","PSTAT.126","PSTAT.160A.160B","Math.117","PSTAT.131","Math.108A","CS.165A.165B","PSTAT.135","Career.fair","Professional.workshops","Technical.workshops","Company.talks...Data.talks","Social.events","Project.groups","Events","Career.Goal","Tableau","Power.BI","Matplotlib","SAS","Looking_for_internship","Looking_for_full_time","internship_or_full_time","Prefer.Remote","Top.desired.location","Top.desired.state","Industry.Preferences","Number.of.completed.data.science.projects","Data_Science_Technologies","research_job_count","Data.Science.Skills","Merged_Languages","Courses","Packages","ID"
"Male",2024,"No","Mathematics/Applied Mathematics","","No",1,"Yes","Yes","No","No","No","No","Java, Python","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Career.fair","Data Scientist","No","No","Yes","Yes","No","Yes","full time","Remote","United States","Florida","Manufacturing",2,"Spark, Apache Kafka, SAS, Jupyter Notebook",3,"Data Visualization, Machine Learning, Deep Learning, Data Wrangling","Java, Python, SAS","","NumPy",1
"Male",2025,"No","Statistics & Data Science","","Yes",1,"Yes","Yes","Yes","Yes","No","No","Java, Python, R, SQL","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","No","Career.fair, Professional.workshops, Technical.workshops","Data Analyst","No","No","Yes","No","No","Yes","full time","In person","Canada","","Tech",1,"Apache Kafka, SPSS, Jupyter Notebook, D3.js, BigQuery, Snowflake",3,"Data Visualization, Deep Learning, Natural Language Processing, Data Wrangling","Java, Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B","NumPy",2
"Female",2025,"No","Mathematics/Applied Mathematics","French","No",0,"No","Yes","Yes","No","No","No","Python, R","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","Yes","Yes","Yes","Yes","No","Yes","full time","No preference","Germany","","Tech",4,"Tableau, Spark, AWS (Amazon Web Services), SPSS, Jupyter Notebook, D3.js, RapidMiner, Alteryx, Snowflake",1,"Deep Learning","Python, R, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, PSTAT.10","NumPy",3
"Female",2025,"No","Statistics & Data Science","","Yes",0,"No","Yes","Yes","Yes","No","No","Python, R, SQL","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No","Yes","Professional.workshops, Technical.workshops, Project.groups","Data Scientist","No","Yes","No","Yes","No","Yes","full time","Remote","Australia","","Tech",5,"Airflow, Databricks, D3.js",4,"Natural Language Processing, Predictive Analytics, Data Wrangling","Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, PSTAT.131","",4
"Male",2025,"Yes","Statistics & Data Science","","Yes",0,"No","Yes","Yes","No","No","No","Python, R","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","Yes","No","No","No","No","Yes","full time","Remote","United States","Ohio","Education",1,"Hadoop, Apache Kafka, GCP (Google Cloud Platform), Jupyter Notebook, RapidMiner, BigQuery",4,"Deep Learning, Predictive Analytics, Data Wrangling","Python, R","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, Math.117, Math.108A","NumPy, Pandas",5
"Prefer not to say",2025,"No","Statistics & Data Science","","Yes",0,"Yes","Yes","Yes","Yes","No","No","Java, Python, R, SQL","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","No","Yes","Yes","No","No","Yes","full time","In person","United States","Georgia","Tech",5,"Power BI, Airflow, GCP (Google Cloud Platform), SPSS, Jupyter Notebook, RapidMiner, BigQuery, Hive",4,"Natural Language Processing","Java, Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, Math.108A","",6
"Male",2025,"Yes","Statistics & Data Science","","Yes",0,"Yes","Yes","Yes","Yes","Yes","Yes","Java, Python, R, SQL, C.C..","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Social.events, Project.groups","Data Engineer","Yes","Yes","Yes","Yes","No","Yes","full time","In person","United States","New York","Tech",3,"Power BI, Hadoop, Airflow, GCP (Google Cloud Platform), Jupyter Notebook, RapidMiner",3,"Data Visualization","Java, Python, R, SQL, C.C.., SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B","NumPy, Pandas, Scikit.learn",7
"Male",2025,"Yes","Mathematics/Applied Mathematics, Statistics & Data Science","","No",0,"Yes","Yes","Yes","Yes","Yes","No","Java, Python, R, SQL, C.C..","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","Yes","Yes","Yes","Yes","No","Yes","full time","Remote","United States","Florida","Tech",3,"Tableau, Power BI, D3.js, RapidMiner, Alteryx, BigQuery",3,"","Java, Python, R, SQL, C.C.., SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, Math.108A","NumPy, Pandas",8
"Male",2025,"No","Financial Math & Statistics, Political Science","","No",0,"Yes","Yes","Yes","Yes","No","Yes","Java, Python, R, SQL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Career.fair, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","No","Yes","Yes","No","No","Yes","full time","In person","United States","Illinois","Tech",3,"Excel, Apache Kafka, BigQuery",2,"Data Visualization, Deep Learning, Natural Language Processing, Data Wrangling","Java, Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, Math.117, PSTAT.131","NumPy, Pandas, SciPy, Scikit.learn, PyTorch, Tensorflow",9
"Female",2025,"No","Economics/Economics & Accounting, Financial Math & Statistics","","No",2,"No","Yes","Yes","No","No","No","Python, R","Yes","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","Yes","Yes","Yes","No","No","Yes","full time","No preference","United States","Florida","Tech",1,"Excel, Spark, AWS (Amazon Web Services), GCP (Google Cloud Platform), Alteryx, Hive",1,"Deep Learning","Python, R","Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, Math.117","NumPy, Pandas",10
"Male",2025,"Yes","Statistics & Data Science","","No",0,"No","Yes","Yes","Yes","No","No","Python, R, SQL","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","Yes","No","No","No","No","Yes","full time","Remote","United Kingdom","","Tech",5,"AWS (Amazon Web Services), GCP (Google Cloud Platform), SPSS, D3.js, BigQuery, Snowflake",1,"Machine Learning, Natural Language Processing","Python, R, SQL","CS.9, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10","",11
"Female",2025,"No","Statistics & Data Science","","No",1,"No","Yes","Yes","Yes","No","No","Python, R, SQL","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","Yes","Yes","Yes","No","No","Yes","full time","In person","United States","North Carolina","Tech",2,"Excel, Apache Kafka, Databricks, Jupyter Notebook, Hive",2,"Data Wrangling","Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10","",12
"Prefer not to say",2025,"No","Statistics & Data Science","Physics","No",1,"Yes","Yes","Yes","No","No","Yes","Java, Python, R","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","No","Yes","No","Yes","No","Yes","full time","Remote","Australia","","Tech",1,"Power BI, Apache Kafka, AWS (Amazon Web Services), Azure, Databricks, BigQuery, Hive, Snowflake",1,"Predictive Analytics, Data Wrangling","Java, Python, R, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.131","NumPy, Pandas",13
"Male",2025,"Yes","Statistics & Data Science","","No",0,"No","Yes","Yes","Yes","Yes","No","Python, R, SQL, C.C..","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","Career.fair, Professional.workshops, Company.talks...Data.talks","Data Engineer","No","Yes","Yes","No","No","Yes","full time","Remote","Canada","","Tech",5,"Power BI, SAS, SPSS, Alteryx",2,"Deep Learning, Data Wrangling","Python, R, SQL, C.C..","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126","NumPy, Pandas",14
"Female",2025,"No","Financial Math & Statistics","","No",3,"No","Yes","Yes","No","No","No","Python, R","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks","Data Analyst","No","Yes","Yes","Yes","No","Yes","full time","In person","Canada","","Tech",0,"Hadoop, Spark, Airflow, AWS (Amazon Web Services), Azure, Jupyter Notebook, D3.js, RapidMiner",4,"Data Visualization","Python, R, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.160A.160B","",15
