"Company","Job.Title","Location","Job.Type","Skill.1","Skill.2","Skill.3","Skill.4","Skill.5","Skill.6","ExperienceQualifications","ClassYearQualifications"
"Zscaler","Data Science Intern- Undergrad (Summer 2023)","San Jose, CA, United States","Internship","Agile","Architecture","Data analysis","Data Analytics","Data strategy","Data visualization","no experience","juniors"
"RYTE Corporation","R&D Data Scientist Intern (Alternance)","Nice, Provence-Alpes-Côte d'Azur, France","Internship","Big Data","Computer Science","Deep Learning","Engineering","Keras","Python","at least two internship experiences","juniors"
"SOMFY Group","Alternance Data Analyst (H/F)","Cluses, France","Full Time","Data analysis","Excel","Power BI","Python","R","R&D","at least one internship experience","seniors"
"RYTE Corporation","MLOps Engineer Intern (Alternance)","Nice, Provence-Alpes-Côte d'Azur, France","Internship","Azure","Big Data","CI/CD","Computer Science","Databricks","Deep Learning","at least one internship experience","seniors"
"RYTE Corporation","Data Scientist (NLP & ML) Intern (Alternance)","Nice, Provence-Alpes-Côte d'Azur, France","Internship","Azure","Big Data","C++","Computer Science","Deep Learning","Docker","no experience","seniors"
"Shadow","Data Analyst / Data Scientist Intern (H/F/X) - July 2023","Paris","Internship","Agile","Clustering","Data analysis","Data visualization","KPIs","Pandas","no experience","seniors"
"Zuora","Data Science Intern","Redwood City, California, United States","Internship","Avro","AWS","Computer Science","CSV","DynamoDB","Finance","at least one internship experience","freshman or sophomores"
"Shippeo","Data Scientist - Internship","Paris, France","Internship","A/B testing","Engineering","Machine Learning","ML models","MLOps","Model design","no experience","freshman or sophomores"
"6sense Insights, Inc.","Data Scientist Intern","United States, Remote","Internship","APIs","Big Data","Business Analytics","Data analysis","Data Analytics","Data visualization","no experience","juniors"
"Chime","Data Analytics Intern","San Francisco, CA","Internship","Banking","Data Analytics","Data visualization","Distributed Systems","Economics","FinTech","at least one internship experience","juniors"
"Shippeo","INTERNSHIP: IT Project Manager - Data Integration (M/F/D)","Paris, France","Internship","Agile","Engineering","KPIs","","","","no experience","seniors"
"Lacework","Analytics Engineer Intern","United States","Internship","BigQuery","Computer Science","Data analysis","Data warehouse","Engineering","Finance","at least two internship experiences","freshman or sophomores"
"Illumio","Data Analyst Intern, Business Intelligence","Sunnyvale, California","Internship","Business Intelligence","Data governance","Excel","Security","SQL","","at least two internship experiences","freshman or sophomores"
"Amazon.com","Applied Scientist Intern","Bellevue, Washington, USA","Full Time","Big Data","Data Analytics","Data Mining","Engineering","Machine Learning","Mathematics","at least one internship experience","juniors"
"OpenX","Intern - Machine Learning","Krakow","Internship","AWS","Azure","Big Data","Computer Science","Data analysis","Dataflow","no experience","seniors"
"Coda Payments","Data Science - Intern","Kuala Lumpur, Malaysia","Internship","Classification","Computer Science","Engineering","Finance","FinTech","Machine Learning","no experience","seniors"
"Kpler","Data Scientist - Internship","Brussels, London, Paris, Vienna, Dubai, Houston, New …","Internship","Data analysis","Data quality","Data visualization","Git","Machine Learning","ML models","at least one internship experience","freshman or sophomores"
"Publicis Groupe","Intern Program: Data Science Intern","Atlanta, GA, United States","Internship","Cluster analysis","Data analysis","Privacy","SAS","Statistics","","no experience","seniors"
"Infinitus","📈 NLP Research Intern","San Francisco, CA","Internship","Conversational AI","Deep Learning","NLP","PhD","PyTorch","Research","at least two internship experiences","freshman or sophomores"
"NBCUniversal","Act Two Program - Data Engineer","Universal City, CALIFORNIA, United States","Full Time","Agile","Airflow","Big Data","Computer Science","Data Analytics","Data management","at least one internship experience","seniors"
"Visa","Intern Associate Data Analyst – Undergrad – Austin","Austin, TX, United States","Internship","Computer Science","Data Analytics","Data visualization","Engineering","Excel","SQL","at least one internship experience","freshman or sophomores"
"Infinitus","📊 Data Analyst Intern - Business & Product Ops","San Francisco, CA","Internship","BigQuery","Conversational AI","Data visualization","Engineering","Excel","GCP","no experience","juniors"
"Unbabel","AI Research Scientist Intern","Lisbon, Lisbon, Portugal","Internship","Computer Science","Deep Learning","Engineering","Machine Learning","NLP","PhD","at least two internship experiences","freshman or sophomores"
"Visa","Internship - Data Science (For Current Students)","Johannesburg, South Africa","Full Time","Big Data","Clustering","Computer Science","Data analysis","Data Mining","Econometrics","at least two internship experiences","seniors"
"METRO/MAKRO","STAGE 6 mois - Data Scientist Junior H/F","Nanterre, France","Full Time","Big Data","Power BI","Python","R","SQL","","at least one internship experience","juniors"
"Bosch Group","Internship - Master Data Management","Solothurn/Zuchwil, Switzerland","Internship","Data Analytics","Data management","Excel","Industrial","Spark","","at least two internship experiences","juniors"
"Mercedes-Benz R&D North America","Machine Learning Intern","Sunnyvale, CA","Internship","Agile","ANN","Architecture","Autonomous Driving","Computer Science","Data analysis","at least one internship experience","juniors"
"Funding Societies","Data Science Intern","Bengaluru, Karnataka, India - Remote","Internship","A/B testing","Computer Science","Data analysis","Data visualization","FinTech","Machine Learning","at least two internship experiences","seniors"
