"gender","grad_year","transfer","major","minor","courses","returning_member","prog_lang_exp","python_package","intern_job_count","club_resource"
"Male","2024","No","Mathematics/Applied Mathematics","","Math 4A","No","Java, Python","NumPy",1,"Career fair"
"Male","2025","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 160A/160B","Yes","Java, Python, R, SQL","NumPy",1,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2025","No","Mathematics/Applied Mathematics","French","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, PSTAT 10","No","Python, R","NumPy",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2025","No","Economics/Economics & Accounting, Financial Math & Statistics","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 131, PSTAT 160A/160B","No","Python, R, SQL","NumPy, Pandas, SciPy",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups"
"Female","2025","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 131, PSTAT 160A/160B","Yes","Python, R, SQL","",0,"Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2025","Yes","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 160A/160B","Yes","Python, R","NumPy, Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Prefer not to say","2025","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126","Yes","Java, Python, R, SQL","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2025","Yes","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 160A/160B","Yes","C/C++, JavaScript/TypeScript, Python, R, SQL","NumPy, Pandas, Scikit-learn",0,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2025","Yes","Mathematics/Applied Mathematics, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 160A/160B","No","C/C++, Java, Python, R, SQL","NumPy, Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2025","No","Financial Math & Statistics, Political Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 131, PSTAT 160A/160B","No","JavaScript/TypeScript, Python, R, SQL","NumPy, Pandas, PyTorch, Scikit-learn, SciPy, Tensorflow",0,"Career fair, Company talks & Data talks, Social events, Project groups"
"Female","2025","No","Economics/Economics & Accounting, Financial Math & Statistics","","Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 160A/160B","No","Python, R","NumPy, Pandas",2,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2025","Yes","Statistics & Data Science","","CS 9, Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10","No","Python, R, SQL","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2025","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10","No","Python, R, SQL","",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Prefer not to say","2025","No","Statistics & Data Science","Physics","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 131","No","Java, JavaScript/TypeScript, Python, R","NumPy, Pandas",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2025","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126","No","C/C++, Python, R, SQL","NumPy, Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.)"
"Female","2025","No","Financial Math & Statistics","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 160A/160B","No","Python, R","",3,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2025","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 131, PSTAT 160A/160B","Yes","Python, R","NumPy, Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2025","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126","No","R","",2,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups"
"Female","2025","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 131, PSTAT 160A/160B","No","Java, Python, R","NumPy, Pandas, Scikit-learn",2,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2025","No","Economics/Economics & Accounting, Financial Math & Statistics","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 131, PSTAT 160A/160B","No","Python, R, SQL","NumPy, SciPy",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups"
"Male","2025","No","Mathematics/Applied Mathematics, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 131, PSTAT 160A/160B","Yes","Java, Python, R","NumPy, Pandas, SciPy",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2025","Yes","Statistics & Data Science","","CS 9, Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 117, PSTAT 10, PSTAT 120A","No","C/C++, Python, R, SQL","NumPy, Tensorflow",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2025","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 126, PSTAT 131, PSTAT 160A/160B","Yes","R, SQL","",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2025","No","Psychological & Brain Sciences, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 131, PSTAT 160A/160B","No","Python, R, SQL","Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2025","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 160A/160B","No","Java, Python, R","",0,"Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2025","No","Computer Science/Computer Engineering, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 131, PSTAT 160A/160B","Yes","C/C++, Java, JavaScript/TypeScript, Python, R, SQL","NumPy, Pandas",2,"Career fair, Project groups"
"Male","2025","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 131, PSTAT 160A/160B","No","Python, R, SQL","NumPy, Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2025","No","Computer Science/Computer Engineering","","CS 165A/165B, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 120A","Yes","C/C++, Java, JavaScript/TypeScript, Python","NumPy, Pandas, SciPy",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups"
"Female","2025","Yes","Statistics & Data Science","Applied Psychology","CS 9, CS 165A/165B, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 131","No","Python, R","NumPy, Pandas",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Mathematics/Applied Mathematics","","CS 165A/165B, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 8/PSTAT 8/CS 40","No","C/C++","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
