"Company","Job.Title","Location","Job.Type","Experience","Skill.1","Skill.2","Skill.3","Skill.4","Skill.5","Skill.6","Perk.1","Perk.2","Perk.3","ExperienceQualifications","ClassYearQualifications"
"Zscaler","Data Science Intern- Undergrad (Summer 2023)","San Jose, CA, United States","Internship","Entry-level","Agile","Architecture","Data analysis","Data Analytics","Data strategy","Data visualization","Competitive pay","Equity","Health care","at least two internship experiences","juniors"
"RYTE Corporation","R&D Data Scientist Intern (Alternance)","Nice, Provence-Alpes-Côte d'Azur, France","Internship","Entry-level","Big Data","Computer Science","Deep Learning","Engineering","Keras","Python","Career development","Flex vacation","","no experience","freshman or sophomores"
"SOMFY Group","Alternance Data Analyst (H/F)","Cluses, France","Full Time","Entry-level","Data analysis","Excel","Power BI","Python","R","R&D","Salary bonus","","","at least one internship experience","juniors"
"RYTE Corporation","MLOps Engineer Intern (Alternance)","Nice, Provence-Alpes-Côte d'Azur, France","Internship","Entry-level","Azure","Big Data","CI/CD","Computer Science","Databricks","Deep Learning","Career development","","","at least one internship experience","freshman or sophomores"
"RYTE Corporation","Data Scientist (NLP & ML) Intern (Alternance)","Nice, Provence-Alpes-Côte d'Azur, France","Internship","Entry-level","Azure","Big Data","C++","Computer Science","Deep Learning","Docker","Career development","","","at least two internship experiences","seniors"
"Shadow","Data Analyst / Data Scientist Intern (H/F/X) - July 2023","Paris","Internship","Entry-level","Agile","Clustering","Data analysis","Data visualization","KPIs","Pandas","Career development","Flex hours","Flex vacation","at least one internship experience","seniors"
"Zuora","Data Science Intern","Redwood City, California, United States","Internship","Entry-level","Avro","AWS","Computer Science","CSV","DynamoDB","Finance","Career development","Competitive pay","Health care","at least two internship experiences","seniors"
"Shippeo","Data Scientist - Internship","Paris, France","Internship","Entry-level","A/B testing","Engineering","Machine Learning","ML models","MLOps","Model design","","","","at least two internship experiences","juniors"
"6sense Insights, Inc.","Data Scientist Intern","United States, Remote","Internship","Entry-level","APIs","Big Data","Business Analytics","Data analysis","Data Analytics","Data visualization","Career development","Gear","Health care","no experience","freshman or sophomores"
"Chime","Data Analytics Intern","San Francisco, CA","Internship","Entry-level","Banking","Data Analytics","Data visualization","Distributed Systems","Economics","FinTech","401(k) matching","Career development","Competitive pay","no experience","juniors"
"Shippeo","INTERNSHIP: IT Project Manager - Data Integration (M/F/D)","Paris, France","Internship","Entry-level","Agile","Engineering","KPIs","","","","","","","no experience","seniors"
"Lacework","Analytics Engineer Intern","United States","Internship","Entry-level","BigQuery","Computer Science","Data analysis","Data warehouse","Engineering","Finance","","","","at least two internship experiences","freshman or sophomores"
"Illumio","Data Analyst Intern, Business Intelligence","Sunnyvale, California","Internship","Entry-level","Business Intelligence","Data governance","Excel","Security","SQL","","Equity","","","no experience","seniors"
"Amazon.com","Applied Scientist Intern","Bellevue, Washington, USA","Full Time","Entry-level","Big Data","Data Analytics","Data Mining","Engineering","Machine Learning","Mathematics","Career development","Equity","","no experience","juniors"
"OpenX","Intern - Machine Learning","Krakow","Internship","Entry-level","AWS","Azure","Big Data","Computer Science","Data analysis","Dataflow","Career development","Flex hours","Startup environment","at least two internship experiences","juniors"
"Coda Payments","Data Science - Intern","Kuala Lumpur, Malaysia","Internship","Entry-level","Classification","Computer Science","Engineering","Finance","FinTech","Machine Learning","Career development","Flex hours","","no experience","juniors"
"Kpler","Data Scientist - Internship","Brussels, London, Paris, Vienna, Dubai, Houston, New …","Internship","Entry-level","Data analysis","Data quality","Data visualization","Git","Machine Learning","ML models","","","","at least two internship experiences","seniors"
"Publicis Groupe","Intern Program: Data Science Intern","Atlanta, GA, United States","Internship","Entry-level","Cluster analysis","Data analysis","Privacy","SAS","Statistics","","Career development","Competitive pay","Equity","at least one internship experience","seniors"
"Infinitus","📈 NLP Research Intern","San Francisco, CA","Internship","Entry-level","Conversational AI","Deep Learning","NLP","PhD","PyTorch","Research","Career development","Conferences","Startup environment","no experience","freshman or sophomores"
"NBCUniversal","Act Two Program - Data Engineer","Universal City, CALIFORNIA, United States","Full Time","Entry-level","Agile","Airflow","Big Data","Computer Science","Data Analytics","Data management","Career development","Flex hours","Flex vacation","at least two internship experiences","freshman or sophomores"
"Visa","Intern Associate Data Analyst – Undergrad – Austin","Austin, TX, United States","Internship","Entry-level","Computer Science","Data Analytics","Data visualization","Engineering","Excel","SQL","Equity","Health care","Insurance","at least two internship experiences","juniors"
"Infinitus","📊 Data Analyst Intern - Business & Product Ops","San Francisco, CA","Internship","Entry-level","BigQuery","Conversational AI","Data visualization","Engineering","Excel","GCP","Startup environment","","","no experience","seniors"
"Unbabel","AI Research Scientist Intern","Lisbon, Lisbon, Portugal","Internship","Entry-level","Computer Science","Deep Learning","Engineering","Machine Learning","NLP","PhD","Career development","Competitive pay","Conferences","no experience","seniors"
"Visa","Internship - Data Science (For Current Students)","Johannesburg, South Africa","Full Time","Entry-level","Big Data","Clustering","Computer Science","Data analysis","Data Mining","Econometrics","Career development","","","no experience","seniors"
"METRO/MAKRO","STAGE 6 mois - Data Scientist Junior H/F","Nanterre, France","Full Time","Entry-level","Big Data","Power BI","Python","R","SQL","","","","","no experience","freshman or sophomores"
"Bosch Group","Internship - Master Data Management","Solothurn/Zuchwil, Switzerland","Internship","Entry-level","Data Analytics","Data management","Excel","Industrial","Spark","","Flex hours","Startup environment","","at least two internship experiences","juniors"
"Mercedes-Benz R&D North America","Machine Learning Intern","Sunnyvale, CA","Internship","Entry-level","Agile","ANN","Architecture","Autonomous Driving","Computer Science","Data analysis","401(k) matching","Career development","Fitness / gym","at least one internship experience","seniors"
"Funding Societies","Data Science Intern","Bengaluru, Karnataka, India - Remote","Internship","Entry-level","A/B testing","Computer Science","Data analysis","Data visualization","FinTech","Machine Learning","Career development","Flex hours","Flex vacation","at least one internship experience","juniors"
"Cloudflare, Inc.","Data Engineering Internship","Lisbon, Portugal","Internship","Entry-level","Angular","APIs","Architecture","Computer Science","Data Analytics","Engineering","","","","at least two internship experiences","seniors"
"Bosch Group","[Intern] AI/ Computer Vision Engineer","Tân Bình, Vietnam","Full Time","Entry-level","Computer Science","Computer Vision","Consulting","Deep Learning","Economics","Engineering","Career development","Team events","","at least two internship experiences","seniors"
"RYTE Corporation","R&D Data Scientist Intern (Alternance)","Paris, Île-de-France, France","Internship","Entry-level","Big Data","Computer Science","Deep Learning","Engineering","Keras","Python","Career development","Flex vacation","","at least one internship experience","freshman or sophomores"
"Amazon.com","Software Development Engineer Intern (Summer 2023) - Machine Learning Apps, Acceleration, Annapurna Labs","Austin, Texas, USA","Full Time","Entry-level","AWS","Computer Science","Deep Learning","Distributed Systems","EC2","Engineering","Career development","Conferences","","at least two internship experiences","seniors"
"RYTE Corporation","Data Scientist (NLP & ML) Intern (Alternance)","Paris, Île-de-France, France","Internship","Entry-level","Azure","Big Data","C++","Computer Science","Deep Learning","Docker","Career development","","","at least two internship experiences","seniors"
"Sia Partners","Stage de fin d'études - Consultant(e) Data Management","Paris, France","Full Time","Entry-level","APIs","Architecture","AWS","Azure","Big Data","Business Intelligence","","","","at least one internship experience","freshman or sophomores"
"RYTE Corporation","MLOps Engineer Intern (Alternance)","Paris, Île-de-France, France","Internship","Entry-level","Azure","Big Data","CI/CD","Computer Science","Databricks","Deep Learning","Career development","","","no experience","seniors"
"SOMFY Group","Alternance Data Analyst (H/F)","Cluses, France","Full Time","Entry-level","Data analysis","Excel","Power BI","Python","R","R&D","Salary bonus","","","at least one internship experience","juniors"
"EcoVadis","Data Management Intern (12 months Internship)","Ebène, Mauritius","Internship","Entry-level","Classification","Data management","Excel","Research","","","Career development","Flex hours","Health care","at least two internship experiences","juniors"
"OpenX","Intern, ML Ops","New York City","Internship","Entry-level","AWS","Azure","Computer Science","Docker","GCP","Google Cloud","Career development","Startup environment","","at least one internship experience","seniors"
