ID,text
1,"Graduate Mathematics/Applied Mathematics  At least one internship experience Java, Python, SAS Data Scientist full time Remote United States Florida Manufacturing Spark, Apache Kafka, SAS, Jupyter Notebook Data Visualization, Machine Learning, Deep Learning, Data Wrangling NumPy "
2,"Senior Statistics & Data Science  At least one internship experience Java, Python, R, SQL Data Analyst full time In person Canada  Tech Apache Kafka, SPSS, Jupyter Notebook, D3.js, BigQuery, Snowflake Data Visualization, Deep Learning, Natural Language Processing, Data Wrangling NumPy "
3,"Senior Mathematics/Applied Mathematics French No internship experience Python, R, SAS Data Analyst full time No preference Germany  Tech Tableau, Spark, AWS (Amazon Web Services), SPSS, Jupyter Notebook, D3.js, RapidMiner, Alteryx, Snowflake Deep Learning NumPy "
4,"Senior Statistics & Data Science  No internship experience Python, R, SQL, SAS Data Scientist full time Remote Australia  Tech Airflow, Databricks, D3.js Natural Language Processing, Predictive Analytics, Data Wrangling  "
5,"Senior Statistics & Data Science  No internship experience Python, R Data Scientist full time Remote United States Ohio Education Hadoop, Apache Kafka, GCP (Google Cloud Platform), Jupyter Notebook, RapidMiner, BigQuery Deep Learning, Predictive Analytics, Data Wrangling NumPy, Pandas "
6,"Senior Statistics & Data Science  No internship experience Java, Python, R, SQL Data Analyst full time In person United States Georgia Tech Power BI, Airflow, GCP (Google Cloud Platform), SPSS, Jupyter Notebook, RapidMiner, BigQuery, Hive Natural Language Processing  "
7,"Senior Statistics & Data Science  No internship experience Java, Python, R, SQL, C.C.., SAS Data Engineer full time In person United States New York Tech Power BI, Hadoop, Airflow, GCP (Google Cloud Platform), Jupyter Notebook, RapidMiner Data Visualization NumPy, Pandas, Scikit.learn "
8,"Senior Mathematics/Applied Mathematics, Statistics & Data Science  No internship experience Java, Python, R, SQL, C.C.., SAS Data Scientist full time Remote United States Florida Tech Tableau, Power BI, D3.js, RapidMiner, Alteryx, BigQuery  NumPy, Pandas "
9,"Senior Financial Math & Statistics, Political Science  No internship experience Java, Python, R, SQL Data Engineer full time In person United States Illinois Tech Excel, Apache Kafka, BigQuery Data Visualization, Deep Learning, Natural Language Processing, Data Wrangling NumPy, Pandas, SciPy, Scikit.learn, PyTorch, Tensorflow "
10,"Senior Economics/Economics & Accounting, Financial Math & Statistics  At least two internship experiences Python, R Data Engineer full time No preference United States Florida Tech Excel, Spark, AWS (Amazon Web Services), GCP (Google Cloud Platform), Alteryx, Hive Deep Learning NumPy, Pandas "
11,"Senior Statistics & Data Science  No internship experience Python, R, SQL Data Engineer full time Remote United Kingdom  Tech AWS (Amazon Web Services), GCP (Google Cloud Platform), SPSS, D3.js, BigQuery, Snowflake Machine Learning, Natural Language Processing  "
12,"Senior Statistics & Data Science  At least one internship experience Python, R, SQL Data Analyst full time In person United States North Carolina Tech Excel, Apache Kafka, Databricks, Jupyter Notebook, Hive Data Wrangling  "
13,"Senior Statistics & Data Science Physics At least one internship experience Java, Python, R, SAS Data Engineer full time Remote Australia  Tech Power BI, Apache Kafka, AWS (Amazon Web Services), Azure, Databricks, BigQuery, Hive, Snowflake Predictive Analytics, Data Wrangling NumPy, Pandas "
14,"Senior Statistics & Data Science  No internship experience Python, R, SQL, C.C.. Data Engineer full time Remote Canada  Tech Power BI, SAS, SPSS, Alteryx Deep Learning, Data Wrangling NumPy, Pandas "
15,"Senior Financial Math & Statistics  Advanced internship experience Python, R, SAS Data Analyst full time In person Canada  Tech Hadoop, Spark, Airflow, AWS (Amazon Web Services), Azure, Jupyter Notebook, D3.js, RapidMiner Data Visualization  "
16,"Senior Statistics & Data Science  No internship experience Python, R, SAS Data Scientist full time Remote United States Georgia Education Apache Kafka, AWS (Amazon Web Services), GCP (Google Cloud Platform), Azure, BigQuery  NumPy, Pandas "
17,"Senior Statistics & Data Science  At least two internship experiences R Data Engineer full time In person United States Georgia Tech Excel, Spark, Apache Kafka, Airflow, SAS, D3.js, BigQuery Predictive Analytics, Data Wrangling  "
18,"Senior Statistics & Data Science  At least two internship experiences Java, Python, R Data Analyst full time No preference Australia  Tech Hadoop, Airflow, Hive Deep Learning NumPy, Pandas, Scikit.learn "
19,"Senior Economics/Economics & Accounting, Financial Math & Statistics  No internship experience Python, R, SQL Data Engineer full time No preference United States New York Tech Tableau, Excel, Apache Kafka, AWS (Amazon Web Services), Azure, Databricks, BigQuery, Snowflake Deep Learning, Natural Language Processing, Predictive Analytics NumPy, SciPy "
20,"Senior Mathematics/Applied Mathematics, Statistics & Data Science  No internship experience Java, Python, R, SAS Data Scientist full time Remote United States Pennsylvania Tech Airflow, AWS (Amazon Web Services), Databricks, SAS, Jupyter Notebook, D3.js, Alteryx, Snowflake Natural Language Processing, Predictive Analytics NumPy, Pandas, SciPy "
21,"Senior Statistics & Data Science  No internship experience Python, R, SQL, C.C.. Data Scientist full time Remote United States North Carolina Finance Hadoop, GCP (Google Cloud Platform), Azure, RapidMiner, Hive Data Visualization, Deep Learning NumPy, Tensorflow "
22,"Senior Statistics & Data Science  At least one internship experience R, SQL Data Engineer full time Remote United States New York Tech Power BI, Hadoop, GCP (Google Cloud Platform), Databricks, SAS, Jupyter Notebook, D3.js, RapidMiner, BigQuery Deep Learning  "
23,"Senior Psychological & Brain Sciences, Statistics & Data Science  No internship experience Python, R, SQL Data Analyst full time Remote United States Georgia Tech Databricks, Jupyter Notebook, RapidMiner, Alteryx Machine Learning, Deep Learning, Data Wrangling Pandas "
24,"Senior Statistics & Data Science  No internship experience Java, Python, R, SAS Data Scientist full time In person Australia  Tech Spark, Apache Kafka, Jupyter Notebook, D3.js, RapidMiner Data Visualization, Machine Learning  "
25,"Senior Computer Science/Computer Engineering, Statistics & Data Science  At least two internship experiences Java, Python, R, SQL, C.C.., SAS Data Scientist full time In person United States Pennsylvania Tech Hadoop, Apache Kafka, Airflow, SAS, Jupyter Notebook  NumPy, Pandas "
26,"Senior Statistics & Data Science  No internship experience Python, R, SQL Data Scientist full time In person United Kingdom  Tech Hadoop, Apache Kafka, AWS (Amazon Web Services), GCP (Google Cloud Platform), SAS, Jupyter Notebook, RapidMiner, Alteryx, Hive Machine Learning, Deep Learning, Predictive Analytics NumPy, Pandas "
27,"Senior Computer Science/Computer Engineering  No internship experience Java, Python, C.C.., SAS Data Engineer full time In person United States Michigan Tech Hadoop, Airflow, Jupyter Notebook, BigQuery Machine Learning, Natural Language Processing NumPy, Pandas, SciPy "
28,"Senior Statistics & Data Science Applied Psychology At least one internship experience Python, R Data Engineer full time In person Canada  Tech Hadoop, Spark, GCP (Google Cloud Platform), SAS, SPSS, Jupyter Notebook, D3.js, RapidMiner, BigQuery, Hive  NumPy, Pandas "
29,"Junior Mathematics/Applied Mathematics  No internship experience C.C.. Data Engineer internship In person Canada  Tech Airflow, BigQuery, Snowflake Natural Language Processing, Data Wrangling  "
30,"Junior Mathematics/Applied Mathematics  At least one internship experience Python, R, SAS Data Analyst internship In person United Kingdom  Education Power BI, Spark, Jupyter Notebook, D3.js, BigQuery, Snowflake Data Visualization  "
31,"Junior Economics/Economics & Accounting, Statistics & Data Science  No internship experience Python, R Data Engineer internship In person United States North Carolina Tech Power BI, Hadoop, Apache Kafka, Airflow, AWS (Amazon Web Services), GCP (Google Cloud Platform) Data Visualization, Data Wrangling  "
32,"Junior Statistics & Data Science  At least one internship experience Python, R, SQL, SAS Data Analyst internship In person United States Michigan Tech Tableau, Hadoop, Airflow, Azure, SAS, Alteryx, BigQuery Predictive Analytics Pandas "
33,"Junior Economics/Economics & Accounting, Statistics & Data Science  Advanced internship experience Python, R, SQL Data Scientist internship Remote United States New York Tech Tableau, Power BI, Airflow, GCP (Google Cloud Platform), SPSS, Alteryx, BigQuery, Hive, Snowflake Data Visualization, Natural Language Processing NumPy, Pandas "
34,"Junior Statistics & Data Science  At least one internship experience Java, Python, R, SQL, C.C.. Data Scientist internship In person United States New York Tech Power BI, Apache Kafka, SAS, RapidMiner  NumPy, Pandas, SciPy "
35,"Junior Economics/Economics & Accounting, Statistics & Data Science  At least one internship experience Java, Python, R, SQL, SAS Data Analyst internship No preference Germany  Tech Power BI, Hadoop, Apache Kafka, Databricks, SPSS, RapidMiner, Alteryx, BigQuery, Hive Data Visualization, Predictive Analytics NumPy, Pandas "
36,"Junior Statistics & Data Science  No internship experience Java, Python, R, SQL, C.C.. Data Scientist internship In person United States Michigan Tech Tableau, Spark, Apache Kafka, Airflow, AWS (Amazon Web Services), D3.js, Hive Natural Language Processing NumPy, Pandas "
37,"Junior Financial Math & Statistics  No internship experience Python, R, SQL, SAS Data Scientist internship Remote United States Illinois Tech Hadoop, GCP (Google Cloud Platform), Azure, Databricks, SPSS, BigQuery, Hive Machine Learning, Deep Learning, Data Wrangling  "
38,"Junior Statistics & Data Science  At least one internship experience Python, R, C.C.. Data Analyst internship No preference United States Texas Healthcare Tableau, Excel, Spark, Airflow, AWS (Amazon Web Services), Jupyter Notebook, Hive  Pandas "
39,"Junior Statistics & Data Science  No internship experience Python, R, SQL Data Engineer internship No preference United States New York Tech Power BI, Airflow, Databricks, SAS, SPSS, Alteryx, Snowflake Deep Learning, Predictive Analytics  "
40,"Junior Economics/Economics & Accounting, Statistics & Data Science  At least two internship experiences Python, R, SQL, C.C.. Data Analyst internship In person United States Pennsylvania Tech Power BI, Hadoop, Spark, AWS (Amazon Web Services), Jupyter Notebook, D3.js, RapidMiner, Alteryx Machine Learning, Natural Language Processing NumPy, Pandas, SciPy, Scikit.learn, PyTorch "
41,"Junior Statistics & Data Science, Sociology  No internship experience Python, C.C.. Data Scientist internship No preference Canada  Manufacturing Power BI, Excel, Azure, Databricks, SPSS, BigQuery, Hive Deep Learning, Predictive Analytics NumPy, Pandas "
42,"Junior Economics/Economics & Accounting, Statistics & Data Science  No internship experience Python, R, SAS Data Analyst internship No preference United States Michigan Tech Tableau, Airflow, RapidMiner Natural Language Processing, Predictive Analytics  "
43,"Junior Statistics & Data Science  No internship experience Python, R Data Analyst internship Remote United States Ohio Tech Spark, SAS, RapidMiner, Snowflake Data Visualization, Natural Language Processing NumPy, Pandas "
44,"Junior Statistics & Data Science  At least one internship experience Python, R, SQL, SAS Data Analyst internship Remote United States Michigan Tech Excel, Spark, Apache Kafka, Airflow, AWS (Amazon Web Services), Hive Data Wrangling NumPy "
45,"Junior Statistics & Data Science  No internship experience Java, Python, R, SQL Data Engineer internship Remote Australia  Tech Power BI, Spark, Airflow, Databricks, BigQuery   "
46,"Junior Statistics & Data Science  No internship experience Python, R, SQL, C.C.., SAS Data Scientist internship Remote United States Georgia Tech Excel, Hadoop, Airflow, D3.js   "
47,"Junior Statistics & Data Science  At least one internship experience Java, Python, R, SQL, C.C.., SAS Data Analyst internship In person United Kingdom  Tech Tableau, Apache Kafka, GCP (Google Cloud Platform), Azure, BigQuery, Hive Machine Learning, Deep Learning, Natural Language Processing NumPy, Pandas "
48,"Junior biology statistics! Advanced internship experience Python, R Data Scientist internship No preference Australia  Tech Hadoop, Airflow, AWS (Amazon Web Services), GCP (Google Cloud Platform), SAS, RapidMiner, Alteryx, BigQuery, Hive Data Visualization, Predictive Analytics, Data Wrangling  "
49,"Junior Psychological & Brain Sciences, Statistics & Data Science  At least one internship experience Python, R, SQL, SAS Data Analyst internship Remote United States Pennsylvania Tech Excel, AWS (Amazon Web Services), GCP (Google Cloud Platform), Azure, Databricks, SAS, D3.js, BigQuery Predictive Analytics NumPy "
